name,brand_name,regular_price_value,offer_price_value,currency,classification_l1,classification_l2,classification_l3,classification_l4,image_url
Dunlopillo Royal Sovereign Latex Mattress  Medium  Small Double,dunlopillo,1299,1299,GBP,furniture & lights,bedroom,mattresses,mattress type,https://johnlewis.scene7.com/is/image/JohnLewis/237149310?
John Lewis & Partners 16mm Snowflake Ribbon  3m  Red,john lewis & partners,2.5,2.5,GBP,sport & leisure,haberdashery,ribbons & trimming,,https://johnlewis.scene7.com/is/image/JohnLewis/233880371?
Robert Welch Radford Small Cheese Knife Set  4 Piece,robert welch,22,22,GBP,home & garden,cutlery,,,https://johnlewis.scene7.com/is/image/JohnLewis/233665479?
Assaf Frank - Through The Trees II Framed Print & Mount  100 x 40cm,john lewis & partners,125,125,GBP,home & garden,pictures,,,https://johnlewis.scene7.com/is/image/JohnLewis/237829116?
Jigsaw Arla Leather Soft Square Flat Court Shoes,jigsaw,79,39,GBP,women,womens shoes  boots & trainers,,,https://johnlewis.scene7.com/is/image/JohnLewis/004197374?
John Lewis & Partners Wooden Crane Accessory,john lewis & partners,12.5,12.5,GBP,baby & child,wooden toys,,,https://johnlewis.scene7.com/is/image/JohnLewis/238066409?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633226?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633234alt2?
John Lewis & Partners Traditions Luggage Label Gift Tags  Pack of 20,john lewis & partners,3,1.5,GBP,christmas,christmas gift wrap  bags & ribbons,,,https://johnlewis.scene7.com/is/image/JohnLewis/238090188?
Emporio Armani AR2434 Men's Chronograph Date Bracelet Strap Watch  Silver/Black,emporio armani,299,299,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/230652628?
Jaeger Manon Tote Bag  Black,jaeger,199,199,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004755314?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633239?
Gerard Darel Sqia Belted Cardigan  Green,gerard darel,245,122.5,GBP,women,women's knitwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/004217316?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633251?
Studio 8 Avery Pleated Back Dress  Cobalt Blue,studio 8,89,37.82,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004811645?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633232?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633241?
Ridleys Gin Lover Jigsaw Puzzle  500 pieces,ridleys,14.99,14.99,GBP,baby & child,games & puzzles,view all games & puzzles,,https://johnlewis.scene7.com/is/image/JohnLewis/237908842?
Dior Miss Dior Eau de Toilette Perfume Roller-Pearl  20ml,dior,34.5,34.5,GBP,beauty,women's fragrance,,,https://johnlewis.scene7.com/is/image/JohnLewis/237984743?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633256?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633263?
MAC Sculpting Powder Pro Palette Refill Pan,mac,17.5,17.5,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237633242?
TP Toys Bruce Wooden Tower  Swing and Slide Set,tp toys,1139.99,1139.99,GBP,baby & child,wooden toys,,,https://johnlewis.scene7.com/is/image/JohnLewis/237969793?
Elizabeth Arden Beautiful Color Eyeshadow - Single,elizabeth arden,16,16,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/000348901?
Mavala Nail Colour - New Look Collection,mavala,4.4,4.4,GBP,beauty,nail make-up,,,https://johnlewis.scene7.com/is/image/JohnLewis/237172330?
4 Seasons Outdoor Valentine High Back Garden Bistro Set,4 seasons outdoor,899,899,GBP,furniture & lights,garden,garden furniture sets,,https://johnlewis.scene7.com/is/image/JohnLewis/236594948?
Sage the Citrus Press,sage,119,119,GBP,electricals,food processors  mixers & blenders,juicers & presses,,https://johnlewis.scene7.com/is/image/JohnLewis/236110637?
Elizabeth Arden Beautiful Color Eyeshadow - Single,elizabeth arden,16,16,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/000348901?
Mavala Nail Colour - New Look Collection,mavala,4.4,4.4,GBP,beauty,nail make-up,,,https://johnlewis.scene7.com/is/image/JohnLewis/237172341?
Mint Velvet Iris Tie Dye Print Halter Top  Multi,mint velvet,69,22,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004167506?
Elizabeth Arden Beautiful Color Eyeshadow - Single,elizabeth arden,16,16,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/000348901?
Bumble and bumble Hairdressers Invisible Oil Shampoo  250ml,bumble and bumble,22.95,22.95,GBP,beauty,hair care,shampoo,,https://johnlewis.scene7.com/is/image/JohnLewis/233982328?
AND/OR Gina Santiago Jacquard Print Dress  Charcoal,and/or,89,89,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004125033?
Elizabeth Arden Beautiful Color Eyeshadow - Single,elizabeth arden,16,16,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/000348901?
